,Item,Category,Calories,Fat Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Sugars (g),Protein (g),Pred
130,HERSHEY'S Sundae Pie,Desserts,310,160,18.0,12.0,0.0,10,230,32.0,1.0,22.0,3.0,2.0
131,Soft Serve Cone,Desserts,200,45,5.0,3.5,0.0,20,150,33.0,0.0,22.0,5.0,8.0
132,Soft Serve Cup,Desserts,180,45,5.0,3.5,0.0,20,150,28.0,0.0,22.0,4.0,1.0
133,HERSHEY'S Chocolate Sundae,Desserts,260,45,5.0,3.5,0.0,20,150,49.0,1.0,41.0,5.0,4.0
134,OREOCookie Shake,Desserts,680,180,20.0,12.0,0.5,65,470,111.0,1.0,88.0,13.0,0.0
135,OREOCookie Chocolate Shake,Desserts,710,180,20.0,12.0,0.5,65,480,118.0,2.0,93.0,14.0,6.0
136,Vanilla Shake,Desserts,600,150,16.0,11.0,0.5,65,410,98.0,0.0,81.0,13.0,3.0
137,HERSHEY'S Chocolate Shake,Desserts,630,150,17.0,11.0,0.5,65,420,105.0,1.0,86.0,13.0,7.0
138,Chocolate Chip Cookies (each),Desserts,160,70,8.0,4.0,0.0,10,110,23.0,0.5,14.0,2.0,5.0
